sku_id,rank_v1,recommend_index,rank_v2,recommend_score,rank_change,方向
美的电热水器,163,77.55,1,92.01,162,上升
如家酒店北京,282,65.95,122,87.68,160,上升
绍兴某酒店,204,73.81,103,87.8,101,上升
西双版纳某酒店,100,84.29,5,89.32,95,上升
大连银帆宾馆,110,84.29,18,88.53,92,上升
香港YMCA酒店,94,84.29,16,88.59,78,上升
杭州友好饭店,76,84.29,10,88.85,66,上升
青岛海景花园大酒店,70,84.29,6,89.21,64,上升
柳州宾馆,54,84.57,3,89.49,51,上升
阳光酒店,52,84.57,7,89.16,45,上升
湛江某酒店,53,84.57,8,89.11,45,上升
许昌某酒店,60,84.57,15,88.64,45,上升
上海瑞吉红塔大酒店,86,84.29,41,88.21,45,上升
泸州某酒店,106,84.29,62,88.08,44,上升
广元某酒店,72,84.29,29,88.3,43,上升
太平洋酒店,283,65.95,241,87.21,42,上升
横店某酒店,69,84.29,35,88.24,34,上升
木棉花酒店,37,84.81,4,89.49,33,上升
南京某酒店,24,84.99,2,91.58,22,上升
呼和浩特某酒店,34,84.81,26,88.36,8,上升
赣州某酒店,98,84.29,2735,12.9,-2637,下降
裙子,386,47.62,2747,12.8,-2361,下降
直筒裤,387,47.62,2724,12.97,-2337,下降
工作服,472,29.29,2782,12.64,-2310,下降
烟台中心大酒店,109,84.29,2381,26.04,-2272,下降
同方电脑,408,43.32,2669,13.25,-2261,下降
越南火龙果,471,29.29,2727,12.95,-2256,下降
橘子酒店,467,29.29,2709,13.04,-2242,下降
修身裤,463,29.29,2680,13.21,-2217,下降
亚麻裤,462,29.29,2675,13.22,-2213,下降
蒙牛绿色好心情,81,84.29,2261,38.54,-2180,下降
摩托罗拉A1200,264,65.95,2442,23.23,-2178,下降
水之密语洗发水,469,29.29,2640,13.48,-2171,下降
联想R系列电脑,277,65.95,2447,22.96,-2170,下降
红米平板,459,29.29,2616,13.7,-2157,下降
31岁小美女的养颜经,473,29.29,2627,13.63,-2154,下降
芜湖某酒店,121,84.29,2265,38.25,-2144,下降
惠润洗发水,451,29.81,2587,14.04,-2136,下降
三星酒店,181,75.84,2313,31.36,-2132,下降
北戴河某酒店,116,84.29,2243,40.99,-2127,下降
