sku_id,absa_comment_count,aspect_sentiment_mean,aspect_sentiment_abs_mean,aspect_positive_ratio,aspect_negative_ratio,aspect_neutral_ratio,aspect_known_ratio,absa_confidence_mean
1592994,36,0.75353994137711,0.8336008042097092,0.8611111111111112,0.05555555555555555,0.08333333333333333,1.0,0.8963690747817358
3901175,86,0.21061892703522084,0.8034907634868178,0.5581395348837209,0.3372093023255814,0.10465116279069768,1.0,0.8680045542328857
5001213,96,0.48018133857597906,0.8109232960268855,0.6979166666666666,0.20833333333333334,0.09375,1.0,0.8637788773824772
5019352,80,0.6497698161751032,0.8709525030106307,0.8,0.1375,0.0625,1.0,0.91083447560668
5089253,60,0.7793045555551846,0.8887937699755033,0.9166666666666666,0.06666666666666667,0.016666666666666666,1.0,0.9015483404199283
5089267,94,0.521737573311684,0.780863991760193,0.7127659574468085,0.1595744680851064,0.1276595744680851,1.0,0.8644743162266751
5089275,95,0.6747573601572137,0.7954591399744937,0.8105263157894737,0.08421052631578947,0.10526315789473684,1.0,0.8674425288250572
5375693,68,0.5788346625426236,0.8186798332368627,0.7647058823529411,0.16176470588235295,0.07352941176470588,1.0,0.8695402154151131
5402840,81,0.6192762240951444,0.8005610873669754,0.7654320987654321,0.1111111111111111,0.12345679012345678,1.0,0.8924033318036868
5663902,93,0.7811007118353279,0.8832010604361052,0.8709677419354839,0.07526881720430108,0.053763440860215055,1.0,0.9146337832814904
5853593,63,0.7152409118319315,0.8460997002465385,0.8412698412698413,0.09523809523809523,0.06349206349206349,1.0,0.888320907713875
5920651,49,0.5587265540142449,0.8752599176095457,0.7551020408163265,0.1836734693877551,0.061224489795918366,1.0,0.9236737623506662
5942439,93,0.5848810756078331,0.8469295867027775,0.7741935483870968,0.15053763440860216,0.07526881720430108,1.0,0.9003864690180747
6176077,67,0.7104599974048671,0.9099643782003602,0.8507462686567164,0.1044776119402985,0.04477611940298507,1.0,0.9403849680032303
6610412,90,0.8217281838258107,0.9116125378343795,0.9,0.05555555555555555,0.044444444444444446,1.0,0.9363608052333195
7081550,91,0.7753961770744114,0.8341553319286514,0.8681318681318682,0.03296703296703297,0.0989010989010989,1.0,0.9007064330053853
7283905,94,0.6176357288309868,0.8585184260885766,0.7978723404255319,0.13829787234042554,0.06382978723404255,1.0,0.9076657352295328
7321794,93,0.7379895096184105,0.8666547979077985,0.8387096774193549,0.08602150537634409,0.07526881720430108,1.0,0.9063266403572534
7437768,92,0.7460634183624516,0.8251340719668762,0.8260869565217391,0.05434782608695652,0.11956521739130435,1.0,0.9017576750205911
7437788,61,0.6596726985251318,0.7947968288523252,0.8032786885245902,0.09836065573770492,0.09836065573770492,1.0,0.8521780918856137
7479912,60,0.7508565167586009,0.8410139381885529,0.8333333333333334,0.05,0.11666666666666667,1.0,0.9084032947818438
7534113,96,0.7745017552127441,0.8897237312048674,0.875,0.07291666666666667,0.052083333333333336,1.0,0.9257363093396028
7651903,55,0.7610102024945345,0.8977987744591452,0.8545454545454545,0.09090909090909091,0.05454545454545454,1.0,0.9400849775834517
7651927,85,0.7836331136086407,0.8225466076065512,0.8705882352941177,0.023529411764705882,0.10588235294117647,1.0,0.8818444511469673
7694047,83,0.7796150266406048,0.8663955101047653,0.8674698795180723,0.04819277108433735,0.08433734939759036,1.0,0.9221811086298471
7846413,62,0.8512690283598439,0.9120203165277359,0.9516129032258065,0.03225806451612903,0.016129032258064516,1.0,0.9241919243527997
8239683,79,0.5522153547293023,0.805286923918543,0.7088607594936709,0.13924050632911392,0.1518987341772152,1.0,0.8966009352780595
8240587,92,0.8648370118892711,0.915395061283008,0.9239130434782609,0.03260869565217391,0.043478260869565216,1.0,0.9472532476419988
8344046,72,0.7705662325024605,0.9093511030077934,0.8888888888888888,0.08333333333333333,0.027777777777777776,1.0,0.9267390403482649
8484451,78,0.722711538657164,0.8089312895750388,0.8205128205128205,0.05128205128205128,0.1282051282051282,1.0,0.8891458717676309
11107032701,44,0.64190942726352,0.7548033825375817,0.7727272727272727,0.06818181818181818,0.1590909090909091,1.0,0.8658762127161026
11339519481,39,0.7382666208805182,0.9353493666037535,0.8717948717948718,0.10256410256410256,0.02564102564102564,1.0,0.95394500096639
12764636413,38,0.6830269741384607,0.8854840288036748,0.8157894736842105,0.13157894736842105,0.05263157894736842,1.0,0.9090415788324255
13521715420,43,0.3010716895724452,0.804655927558278,0.6046511627906976,0.2558139534883721,0.13953488372093023,1.0,0.8986255429511847
15612619462,54,0.6992382970121171,0.8943233810089253,0.8518518518518519,0.12962962962962962,0.018518518518518517,1.0,0.9031195226642821
16290978197,24,0.8365010097622871,0.9190905118981997,0.9166666666666666,0.041666666666666664,0.041666666666666664,1.0,0.9373319943745931
19078286246,48,0.4860883553822835,0.8154124915599823,0.6875,0.1875,0.125,1.0,0.9063679787019888
20349124505,50,0.8646388745307922,0.9281756806373597,0.92,0.04,0.04,1.0,0.94896289229393
20898196348,30,0.7896342356999715,0.9110050439834595,0.8666666666666667,0.06666666666666667,0.06666666666666667,1.0,0.9524024208386739
21135280362,22,0.7101016261360862,0.7829108075662092,0.8181818181818182,0.045454545454545456,0.13636363636363635,1.0,0.8922622528943148
21845662740,23,0.6405873285687488,0.8934254788834116,0.8260869565217391,0.13043478260869565,0.043478260869565216,1.0,0.9235119236552197
22863264117,43,0.7049965886182563,0.9045346808987994,0.813953488372093,0.13953488372093023,0.046511627906976744,1.0,0.9330103563707929
25158905369,28,0.5836003805909838,0.866926337991442,0.75,0.17857142857142858,0.07142857142857142,1.0,0.9088439813682011
25531193076,32,0.8578723846003413,0.9486805023625493,0.9375,0.0625,0.0,1.0,0.9486805023625493
25774787882,40,0.7461325936019421,0.8359216101467609,0.825,0.075,0.1,1.0,0.9119598008692265
25834204287,49,0.9135189421322881,0.9527937538769781,0.9387755102040817,0.02040816326530612,0.04081632653061224,1.0,0.9785890737358405
26128018111,23,0.877258186754973,0.877258186754973,0.9130434782608695,0.0,0.08695652173913043,1.0,0.9511976371640745
26263258528,42,0.7734783192475637,0.897048662106196,0.8809523809523809,0.07142857142857142,0.047619047619047616,1.0,0.9310377609162104
26266694915,22,0.7895615940744226,0.9585119404576041,0.9090909090909091,0.09090909090909091,0.0,1.0,0.9585119404576041
26697273746,29,0.8256061056564594,0.9596314985176613,0.9310344827586207,0.06896551724137931,0.0,1.0,0.9596314985176613
27357030125,24,0.6902315765619278,0.88913194835186,0.8333333333333334,0.125,0.041666666666666664,1.0,0.928518275419871
27930378393,3,-0.636482854684194,0.636482854684194,0.0,0.6666666666666666,0.3333333333333333,1.0,0.821292002995809
28082716822,28,0.7330237797328404,0.8664659432002476,0.8214285714285714,0.07142857142857142,0.10714285714285714,1.0,0.9361652774470193
28328600610,5,0.6606889009475708,0.6606889009475708,0.8,0.0,0.2,1.0,0.761176347732544
28409652238,21,0.6700829210735503,0.8015882458005633,0.7619047619047619,0.09523809523809523,0.14285714285714285,1.0,0.886215593133654
28672267256,21,0.8944989783423287,0.9861315034684681,0.9523809523809523,0.047619047619047616,0.0,1.0,0.9861315034684681
28714523786,32,0.7023405488580465,0.923083009198308,0.84375,0.125,0.03125,1.0,0.9486863538622856
29002078202,29,0.5896157437357409,0.8572186026079901,0.7586206896551724,0.1724137931034483,0.06896551724137931,1.0,0.912179289192989
29196113704,46,0.8936292205167853,0.8936292205167853,0.9347826086956522,0.0,0.06521739130434782,1.0,0.9321067644202191
29242522476,12,0.6585345317920049,0.824394221107165,0.75,0.08333333333333333,0.16666666666666666,1.0,0.9392663786808649
29619588672,43,0.7997255976810012,0.88730332879133,0.8604651162790697,0.046511627906976744,0.09302325581395349,1.0,0.948273969251056
29638202857,27,0.6120730704731412,0.810590578450097,0.7777777777777778,0.1111111111111111,0.1111111111111111,1.0,0.874871865466789
29659404127,29,0.8976929269987961,0.9551188123637232,0.9655172413793104,0.034482758620689655,0.0,1.0,0.9551188123637232
30153140071,16,0.2952915355563164,0.6451729014515877,0.5,0.1875,0.3125,1.0,0.8544509336352348
30323689521,30,0.7579736510912577,0.8085502743721008,0.8333333333333334,0.03333333333333333,0.13333333333333333,1.0,0.9023129840691885
