sku_id,cat,comment_count,recommend_score,comp_overall,comp_aspect,comp_confidence,comp_volume,aspect_positive_ratio,aspect_negative_ratio,aspect_sentiment_mean,absa_confidence_mean
清扬男士洗发水,洗发水,25,88.03,0.96,0.9757,0.9493,0.3994,0.96,0.0,0.9235,0.9493
裤子,衣服,3487,86.34,0.7815,0.8656,0.9786,1.0,0.7815,0.2053,0.575,0.9786
论语》心得,书籍,3,85.58,1.0,0.9731,0.8968,0.1699,1.0,0.0,0.8968,0.8968
长安月下红袖香,书籍,2,85.5,1.0,0.9969,0.8593,0.1347,1.0,0.0,0.8593,0.8593
高原苹果,水果,3,85.48,1.0,0.9867,0.8393,0.1699,1.0,0.0,0.8393,0.8393
辛夷坞的作品,书籍,4,85.23,1.0,0.9673,0.8412,0.1973,1.0,0.0,0.8412,0.8412
小米平板3,平板,8,85.22,1.0,0.9194,0.8999,0.2694,1.0,0.0,0.8999,0.8999
刘谦的作品,书籍,2,85.17,1.0,0.9699,0.92,0.1347,1.0,0.0,0.92,0.92
台北故宫,书籍,2,85.11,1.0,0.9998,0.8092,0.1347,1.0,0.0,0.8092,0.8092
上海粤海酒店,酒店,8,84.64,1.0,0.8963,0.9231,0.2694,1.0,0.0,0.9231,0.9231
华为MatePad Pro,平板,148,84.59,0.8649,0.9067,0.9058,0.6134,0.8649,0.1149,0.7043,0.9058
郎教授的作品,书籍,4,84.52,1.0,0.9059,0.9852,0.1973,1.0,0.0,0.9852,0.9852
夏普903,手机,3,84.43,1.0,0.9619,0.8211,0.1699,1.0,0.0,0.8211,0.8211
南先生的作品,书籍,3,84.36,1.0,0.979,0.7543,0.1699,1.0,0.0,0.7543,0.7543
火龙果苹果,水果,2,84.33,1.0,0.9907,0.7631,0.1347,1.0,0.0,0.7631,0.7631
不能说的秘密,书籍,3,84.31,1.0,0.9143,0.976,0.1699,1.0,0.0,0.976,0.976
格林豪泰某酒店,酒店,3,84.28,1.0,0.9614,0.8079,0.1699,1.0,0.0,0.8079,0.8079
赵老师的作品,书籍,3,84.2,1.0,0.9077,0.988,0.1699,1.0,0.0,0.988,0.988
盐阜宾馆,酒店,4,84.18,1.0,0.9357,0.8472,0.1973,1.0,0.0,0.8472,0.8472
倾城之恋,书籍,2,84.16,1.0,0.9404,0.9228,0.1347,1.0,0.0,0.9228,0.9228
