cat,topic_id,topic_keywords,count,ratio
书籍,0,呵呵、妈妈、不一样的卡梅拉、哈哈、汤姆走丢了、结果,326,0.145
书籍,1,但是、如果、爱情、不过、可是、决不,288,0.1281
书籍,2,我想、看了这本书、小时候、好妈妈胜过好老师、孩子、呵呵,167,0.0743
书籍,3,求医不如求己、呵呵、说实话、当归、亚健康、做法,113,0.0502
书籍,4,在梦里、慢慢地、幸好、也许、一些想不到的经历、一切历史都是当代史,50,0.0222
平板,0,支持华为、支持国产、相信华为、支持国货、好用、好评,234,0.1191
平板,1,华为平板、支持华为、支持国产、很喜欢、值得信赖、支持国货,95,0.0484
平板,2,支持京东、支持华为、支持国货、物流很快、赞赞赞、包装很好,73,0.0372
平板,3,给妈妈买的、还是买了这款、小孩子喜欢、给家里老人买的、儿子非常喜欢、看新闻,71,0.0362
平板,4,看的眼睛疼、失望、差评吧、一星都不想给、分辨率低、1300万像素照出来的效果发白,63,0.0321
手机,0,呵呵、10、手感很好、功能、另外、lg,237,0.4489
手机,1,10、108、待机时间太短、很麻烦、呵呵、条短消息,228,0.4318
水果,0,差评、三个火龙果、太失望了、不会再买、火龙果不新鲜、还不新鲜,343,0.1143
水果,1,苹果很好、苹果很新鲜、很满意、上午下单、点赞、赞一个,261,0.087
水果,2,很脆、又脆又甜、脆甜、好吃、很脆很甜、口感不错,198,0.066
水果,3,物流快、物流很快、物流非常快、苹果收到了、苹果很好吃、很新鲜,84,0.028
水果,4,垃圾、秒杀的时候千万不要买、又是、不想说什么了、太垃圾了、非常差,72,0.024
洗发水,0,是正品、信赖京东、一直用清扬、值得信赖、大品牌、第二次购买了,212,0.1321
洗发水,1,clear、洗发水、清扬、500ml、清爽、活力运动薄荷型,116,0.0723
洗发水,2,一直用沙宣、一直在用沙宣、一直用的沙宣、一直都用沙宣、喜欢沙宣的味道、好喜欢,96,0.0598
洗发水,3,一直用潘婷、特好用、还没用、搞活动买的、味道也好闻、挺划算的,92,0.0573
洗发水,4,感谢京东、一直信赖京东、非常满意、是正品、用着温润、京东物流也很给力,89,0.0555
热水器,0,不错、还不错、很满意、第二天就来安装了、快递也很给力、安装上了,46,0.3651
热水器,1,呵呵、好用、热水器不错、热水器很好、美的、f50,41,0.3254
热水器,2,第二次购买、正品、还没安装、第二次购买了、很好用、使用数天,15,0.119
蒙牛,0,蒙牛纯牛奶、蒙牛早餐奶、虽然它是蒙牛的、哈哈哈、哈哈、味道不错,103,0.0751
蒙牛,1,回复、您好、中粮和欧洲最大乳企爱氏晨曦已入主蒙牛、蒙牛正在变得安全更好、希望能恢复您对国产奶和蒙牛的信心、奶源和品控会进一步加强,91,0.0664
蒙牛,2,蒙牛、牛逼、蒙牛真的很牛、视频里的蒙牛又霸气了、霸气、哈哈,81,0.0591
蒙牛,3,去你妈蒙牛、国产牛奶还能喝吗、华润万家、不可因倦而鲜终、喝蒙牛死全家、无良的,61,0.0445
蒙牛,4,不能保证行动一致、无耻、蒙牛为什么就这么牛、蒙牛不死、所以、蒙牛,45,0.0328
衣服,0,差评、裤子长就要腰粗、垃圾、垃圾裤子、只是这个标签牌会戳死人的你们那么多年就不知道改进一下、不好,878,0.2927
衣服,1,物流很快、物流也很快、物流也快、客服态度很好、好评、裤子质量很好,293,0.0977
衣服,2,大小合适、裤子不错、质量也不错、裤子质量不错、面料不错、裤子质量很好,127,0.0423
衣服,3,很喜欢、下次还会再来的、下次还会来的、裤子很好、裤子质量很好、下次还来,116,0.0387
衣服,4,花花公子牛仔裤、质量不错、搞活动99元买的、面料不错、大小合适、牛仔裤质量不错,62,0.0207
计算机,0,oem、asus、只有一个分区、外观大气、xp、比较麻烦,124,0.1341
计算机,1,性能不错、cpu、赞一个、比t系列漂亮、音质提升也不少、新模具造型设计好看多了,61,0.0659
计算机,2,携带方便、5小时、电池不错、电池续航能力强、漂亮、白色的,54,0.0584
计算机,3,性能稳定、不过和原来ibm相比真是有差距了、thinkpad的品质还是有一贯保证的、性能优越、感觉很好、性能不错,48,0.0519
计算机,4,三星内存、三星完美屏、屏幕不错、1066、自带的三星ddr2、3300的价格性价比没有宏基等的机器好,41,0.0443
酒店,0,30、不错的酒店、不错、00、房间不错、早餐一般,108,0.036
酒店,1,离浦东机场很近、离机场近、环境一般、靠近机场、老酒店、很一般,108,0.036
酒店,2,补充点评、后来、另外、可怕、4元、4002,100,0.0333
酒店,3,环境不错、性价比很高、性价比可以、酒店地理位置不错、不错的酒店、酒店位置不错,90,0.03
酒店,4,补充点评、房间不错、还有、总体而言、很干净、宽带,75,0.025
